id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
5,15771669,Genovese,588,Germany,Male,36.0,4,131778.58,1,1.0,0.0,136024.31,1
8,15691707,Manna,676,France,Male,43.0,4,0.0,2,1.0,0.0,142917.13,0
9,15591721,Cattaneo,583,Germany,Male,40.0,4,81274.33,1,1.0,1.0,170843.07,0
13,15793029,Ts'ai,681,France,Male,47.0,5,0.0,1,1.0,1.0,72945.68,0
20,15781496,Udegbulam,773,Spain,Male,35.0,9,0.0,2,0.0,1.0,87549.36,0
36,15635330,Walker,611,Spain,Male,45.0,0,0.0,2,1.0,0.0,82403.08,0
37,15761718,Lucchesi,752,France,Male,37.0,6,0.0,2,0.0,0.0,1187.88,0
48,15777591,Hs?,579,France,Male,39.0,6,160541.0,2,1.0,1.0,149913.08,0
54,15673772,Nkemakolam,753,Spain,Male,37.0,8,0.0,1,1.0,1.0,168816.35,0
57,15791774,Goliwe,577,France,Male,36.0,3,112668.48,1,1.0,1.0,171344.02,0
69,15747541,Maclean,678,Germany,Female,43.0,8,129845.53,1,0.0,0.0,120853.51,1
71,15796849,Hsiung,682,Germany,Female,34.0,5,126731.71,1,1.0,0.0,153870.58,1
73,15593772,Shao,721,Spain,Male,30.0,9,0.0,2,1.0,1.0,177747.05,0
82,15603840,Lo Duca,707,Germany,Female,38.0,5,106920.91,1,0.0,1.0,52404.47,1
95,15791534,Scott,588,Germany,Male,30.0,10,126683.4,1,1.0,1.0,131636.55,0
127,15584584,Ejimofor,661,France,Male,34.0,0,0.0,2,1.0,1.0,121299.65,0
131,15652677,Istomin,644,Spain,Male,43.0,9,89800.14,1,0.0,0.0,162699.8,0
133,15791667,Shih,731,France,Female,33.0,6,0.0,2,1.0,0.0,109041.53,0
144,15631609,Chukwumaobim,681,France,Male,34.0,5,127864.4,1,1.0,1.0,93829.73,0
152,15602344,Ch'ang,479,Germany,Female,58.0,2,131644.0,1,1.0,1.0,152733.89,1
155,15786859,Genovesi,684,Germany,Male,42.0,1,121240.54,2,1.0,0.0,142514.28,0
159,15581261,Hsiung,594,France,Male,51.0,2,0.0,2,1.0,1.0,75860.01,1
161,15576743,P'eng,715,Spain,Female,46.0,2,0.0,1,1.0,0.0,116471.26,1
162,15763773,L?,655,Germany,Female,24.0,3,110581.29,2,0.0,0.0,128528.61,0
194,15693398,Onyekachukwu,558,France,Male,40.0,7,0.0,2,0.0,0.0,52327.57,0
